Iteration, Energy, ΔEnergy
1, (-0.013018884336161649+0j), (-0.013018884336161649+0j)
2, (-0.012545932383024157+0j), (0.0004729519531374918+0j)
3, (-0.012198343921906645+0j), (0.0003475884611175116+0j)
4, (-0.011967787902350712+0j), (0.00023055601955593308+0j)
5, (-0.01182319413434627+0j), (0.00014459376800444144+0j)
6, (-0.01173560047963755+0j), (8.759365470871992e-05+0j)
7, (-0.011683747389008377+0j), (5.185309062917358e-05+0j)
8, (-0.011653542690640313+0j), (3.020469836806372e-05+0j)
9, (-0.011636152019769799+0j), (1.7390670870514463e-05+0j)
10, (-0.011626225050035598+0j), (9.926969734201305e-06+0j)
11, (-0.01162059514486242+0j), (5.629905173177782e-06+0j)
12, (-0.011617417985483243+0j), (3.177159379176564e-06+0j)
13, (-0.011615631801692264+0j), (1.7861837909791123e-06+0j)
14, (-0.011614630564251043+0j), (1.0012374412216724e-06+0j)
15, (-0.01161407059912713+0j), (5.599651239120151e-07+0j)
16, (-0.011613757971547366+0j), (3.1262757976477373e-07+0j)
17, (-0.011613583660123439+0j), (1.7431142392693166e-07+0j)
18, (-0.01161348655892888+0j), (9.710119455892674e-08+0j)
19, (-0.01161343249750199+0j), (5.4061426890683606e-08+0j)
20, (-0.011613402402360435+0j), (3.009514155417892e-08+0j)
21, (-0.011613385642141823+0j), (1.6760218612271727e-08+0j)
22, (-0.011613376297675698+0j), (9.344466124494577e-09+0j)
23, (-0.011613371076248272+0j), (5.221427425844416e-09+0j)
24, (-0.011613368147400233+0j), (2.9288480390965432e-09+0j)
25, (-0.011613366494034022+0j), (1.6533662113016323e-09+0j)
26, (-0.011613365551153039+0j), (9.428809833594842e-10+0j)
27, (-0.01161336500491872+0j), (5.462343181938945e-10+0j)
28, (-0.01161336468096222+0j), (3.239565005141998e-10+0j)
29, (-0.011613364482341747+0j), (1.9862047249963322e-10+0j)
30, (-0.011613364355093938+0j), (1.272478095115659e-10+0j)
31, (-0.011613364269113354+0j), (8.598058376385609e-11+0j)
32, (-0.011613364207542505+0j), (6.157084911362354e-11+0j)
33, (-0.011613364160885337+0j), (4.665716771268258e-11+0j)
34, (-0.011613364123741433+0j), (3.714390427178582e-11+0j)
35, (-0.011613364092993963+0j), (3.074747054188087e-11+0j)
36, (-0.011613364066803916+0j), (2.6190046659158028e-11+0j)
37, (-0.011613364044051458+0j), (2.2752457903840728e-11+0j)
38, (-0.011613364024025253+0j), (2.002620465291205e-11+0j)
39, (-0.011613364006249328+0j), (1.7775924829321887e-11+0j)
40, (-0.011613363990386247+0j), (1.5863081681555258e-11+0j)
41, (-0.011613363976182667+0j), (1.4203579284943757e-11+0j)
42, (-0.011613363963438443+0j), (1.2744224078820032e-11+0j)
43, (-0.01161336395198886+0j), (1.1449582601463781e-11+0j)
44, (-0.01161336394169419+0j), (1.0294671365373986e-11+0j)
45, (-0.011613363932433382+0j), (9.260807398714377e-12+0j)
46, (-0.01161336392410008+0j), (8.333302797813857e-12+0j)
47, (-0.011613363916599997+0j), (7.500082152556153e-12+0j)
48, (-0.011613363909849041+0j), (6.750955697243377e-12+0j)
49, (-0.011613363903771963+0j), (6.077078076871523e-12+0j)
50, (-0.011613363898301254+0j), (5.470708955290782e-12+0j)
51, (-0.01161336389337628+0j), (4.924973623365858e-12+0j)
52, (-0.011613363888942529+0j), (4.433751976673506e-12+0j)
53, (-0.011613363884950958+0j), (3.9915709626470175e-12+0j)
54, (-0.011613363881357454+0j), (3.5935039666146196e-12+0j)
55, (-0.011613363878122299+0j), (3.2351551992881866e-12+0j)
56, (-0.01161336387520976+0j), (2.912538266119924e-12+0j)
57, (-0.011613363872587651+0j), (2.622109127048411e-12+0j)
58, (-0.011613363870227014+0j), (2.3606377269613787e-12+0j)
59, (-0.011613363868101774+0j), (2.125239220718278e-12+0j)
60, (-0.011613363866188456+0j), (1.9133184619990473e-12+0j)
61, (-0.011613363864465924+0j), (1.722531839387642e-12+0j)
62, (-0.011613363862915161+0j), (1.5507629902433706e-12+0j)
63, (-0.011613363861519031+0j), (1.396129739594798e-12+0j)
64, (-0.01161336386026212+0j), (1.2569112417537553e-12+0j)
65, (-0.01161336385913054+0j), (1.131579205337907e-12+0j)
66, (-0.011613363858111798+0j), (1.0187423821195196e-12+0j)
67, (-0.011613363857194641+0j), (9.171569753663178e-13+0j)
68, (-0.011613363856368939+0j), (8.257023537128205e-13+0j)
69, (-0.011613363855625572+0j), (7.433671733725333e-13+0j)
70, (-0.01161336385495633+0j), (6.692424392440444e-13+0j)
71, (-0.01161336385435382+0j), (6.025093618466926e-13+0j)
72, (-0.011613363853811391+0j), (5.424289489797118e-13+0j)
73, (-0.011613363853323051+0j), (4.88340270998755e-13+0j)
74, (-0.011613363852883408+0j), (4.3964311358113406e-13+0j)
75, (-0.0116133638524876+0j), (3.958083860666761e-13+0j)
76, (-0.01161336385213126+0j), (3.563399575412518e-13+0j)
77, (-0.011613363851810454+0j), (3.208058818593429e-13+0j)
78, (-0.011613363851521636+0j), (2.8881758096233057e-13+0j)
79, (-0.011613363851261618+0j), (2.600177018141636e-13+0j)
80, (-0.011613363851027524+0j), (2.340939941891662e-13+0j)
81, (-0.011613363850816776+0j), (2.1074808564947034e-13+0j)
82, (-0.01161336385062704+0j), (1.8973538018496328e-13+0j)
83, (-0.011613363850456226+0j), (1.7081475123248424e-13+0j)
84, (-0.011613363850302443+0j), (1.5378323614534395e-13+0j)
85, (-0.011613363850163993+0j), (1.3845001534118495e-13+0j)
86, (-0.011613363850039353+0j), (1.246398817489336e-13+0j)
87, (-0.011613363849927137+0j), (1.122157922139877e-13+0j)
