Iteration, Energy, ΔEnergy
1, -2.524230221586319, -2.524230221586319
2, -2.834803934776692, -0.3105737131903732
3, -3.5457671767860965, -0.7109632420094045
4, -3.4259760445872938, 0.11979113219880277
5, -4.382474821778847, -0.9564987771915532
6, -4.526442124510787, -0.14396730273193992
7, -11.671412194293174, -7.144970069782387
8, -34.54584128396398, -22.874429089670805
9, 37861.34194678491, 37895.887788068874
10, 20698331459405.918, 20698331421544.574
11, 5.4379549466181546e+39, 5.4379549466181546e+39
12, 1.3056933930912985e+119, 1.3056933930912985e+119
13, nan, nan
