iteration, site, a, i, value
0, 0, 1, 0, 0.0
0, 0, 2, 0, 0.0
0, 0, 3, 0, 0.0
0, 0, 4, 0, 0.0
0, 1, 1, 0, 0.0
0, 1, 2, 0, 0.0
0, 1, 3, 0, 0.0
0, 1, 4, 0, 0.0
0, 2, 1, 0, 0.0
0, 2, 2, 0, 0.0
0, 2, 3, 0, 0.0
0, 2, 4, 0, 0.0
0, 3, 1, 0, 0.0
0, 3, 2, 0, 0.0
0, 3, 3, 0, 0.0
0, 3, 4, 0, 0.0
0, 4, 1, 0, 0.0
0, 4, 2, 0, 0.0
0, 4, 3, 0, 0.0
0, 4, 4, 0, 0.0
1, 0, 1, 0, 1.9991870814531335e-27
1, 0, 2, 0, 3.401584283437634e-43
1, 0, 3, 0, -1.7663301944750134e-55
1, 0, 4, 0, 1.7298174019986734e-71
1, 1, 1, 0, 1.9991870814531335e-27
1, 1, 2, 0, 3.401584283437634e-43
1, 1, 3, 0, -1.7663301944750134e-55
1, 1, 4, 0, 1.7298174019986734e-71
1, 2, 1, 0, 1.9991870814531335e-27
1, 2, 2, 0, 3.401584283437634e-43
1, 2, 3, 0, -1.7663301944750134e-55
1, 2, 4, 0, 1.7298174019986734e-71
1, 3, 1, 0, 1.9991870814531335e-27
1, 3, 2, 0, 3.401584283437634e-43
1, 3, 3, 0, -1.7663301944750134e-55
1, 3, 4, 0, 1.7298174019986734e-71
1, 4, 1, 0, 1.9991870814531335e-27
1, 4, 2, 0, 3.401584283437634e-43
1, 4, 3, 0, -1.7663301944750134e-55
1, 4, 4, 0, 1.7298174019986734e-71
2, 0, 1, 0, -8.843499738450844e-28
2, 0, 2, 0, -2.977762560408995e-28
2, 0, 3, 0, -0.0331456303681194
2, 0, 4, 0, -1.5859077287049978e-18
2, 1, 1, 0, -8.843499738450844e-28
2, 1, 2, 0, -2.977762560408995e-28
2, 1, 3, 0, -0.0331456303681194
2, 1, 4, 0, -1.5859077287049978e-18
2, 2, 1, 0, -8.843499738450844e-28
2, 2, 2, 0, -2.977762560408995e-28
2, 2, 3, 0, -0.0331456303681194
2, 2, 4, 0, -1.5859077287049978e-18
2, 3, 1, 0, -8.843499738450844e-28
2, 3, 2, 0, -2.977762560408995e-28
2, 3, 3, 0, -0.0331456303681194
2, 3, 4, 0, -1.5859077287049978e-18
2, 4, 1, 0, -8.843499738450844e-28
2, 4, 2, 0, -2.977762560408995e-28
2, 4, 3, 0, -0.0331456303681194
2, 4, 4, 0, -1.5859077287049978e-18
3, 0, 1, 0, 4.236412409185609e-27
3, 0, 2, 0, 2.2629924725847922e-27
